No,名前,English_Name,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,合計,身長_m,体重_kg,基礎経験値
85,ドードリオ,Dodrio,ノーマル,ひこう,60,110,70,60,60,110,470,1.8,85.2,165
86,パウワウ,Seel,みず,,65,45,55,45,70,45,325,1.1,90.0,65
87,ジュゴン,Dewgong,みず,こおり,90,70,80,70,95,70,475,1.7,120.0,166
88,ベトベター,Grimer,どく,,80,80,50,40,50,25,325,0.9,30.0,65
89,ベトベトン,Muk,どく,,105,105,75,65,100,50,500,1.2,30.0,175
90,シェルダー,Shellder,みず,,30,65,100,45,25,40,305,0.3,4.0,61
91,パルシェン,Cloyster,みず,こおり,50,95,180,85,45,70,525,1.5,132.5,184
92,ゴース,Gastly,ゴースト,どく,30,35,30,100,35,80,310,1.3,0.1,62
93,ゴースト,Haunter,ゴースト,どく,45,50,45,115,55,95,405,1.6,0.1,142
94,ゲンガー,Gengar,ゴースト,どく,60,65,60,130,75,110,500,1.5,40.5,225
95,イワーク,Onix,いわ,じめん,35,45,160,30,45,70,385,8.8,210.0,77
96,スリープ,Drowzee,エスパー,,60,48,45,43,90,42,328,1.0,32.4,66
97,スリーパー,Hypno,エスパー,,85,73,70,73,115,67,483,1.6,75.6,169
98,クラブ,Krabby,みず,,30,105,90,25,25,50,325,0.4,6.5,65
99,キングラー,Kingler,みず,,55,130,115,50,50,75,475,1.3,60.0,166
100,ビリリダマ,Voltorb,でんき,,40,30,50,55,55,100,330,0.5,10.4,66
101,マルマイン,Electrode,でんき,,60,50,70,80,80,150,490,1.2,66.6,172
102,タマタマ,Exeggcute,くさ,エスパー,60,40,80,60,45,40,325,0.4,2.5,65
103,ナッシー,Exeggutor,くさ,エスパー,95,95,85,125,75,55,530,2.0,120.0,186
104,カラカラ,Cubone,じめん,,50,50,95,40,50,35,320,0.4,6.5,64
105,ガラガラ,Marowak,じめん,,60,80,110,50,80,45,425,1.0,45.0,149
106,サワムラー,Hitmonlee,かくとう,,50,120,53,35,110,87,455,1.5,49.8,159
107,エビワラー,Hitmonchan,かくとう,,50,105,79,35,110,76,455,1.4,50.2,159
108,ベロリンガ,Lickitung,ノーマル,,90,55,75,60,75,30,385,1.2,65.5,77
109,ドガース,Koffing,どく,,40,65,95,60,45,35,340,0.6,1.0,68
110,マタドガス,Weezing,どく,,65,90,120,85,70,60,490,1.2,9.5,172
111,サイホーン,Rhyhorn,じめん,いわ,80,85,95,30,30,25,345,1.0,115.0,69
112,サイドン,Rhydon,じめん,いわ,105,130,120,45,45,40,485,1.9,120.0,170
113,ラッキー,Chansey,ノーマル,,250,5,5,35,105,50,450,1.1,34.6,395
114,モンジャラ,Tangela,くさ,,65,55,115,100,40,60,435,1.0,35.0,87
115,ガルーラ,Kangaskhan,ノーマル,,105,95,80,40,80,90,490,2.2,80.0,172
116,タッツー,Horsea,みず,,30,40,70,70,25,60,295,0.4,8.0,59
117,シードラ,Seadra,みず,,55,65,95,95,45,85,440,1.2,25.0,154
118,トサキント,Goldeen,みず,,45,67,60,35,50,63,320,0.6,15.0,64
119,アズマオウ,Seaking,みず,,80,92,65,65,80,68,450,1.3,39.0,158
120,ヒトデマン,Staryu,みず,,30,45,55,70,55,85,340,0.8,34.5,68
121,スターミー,Starmie,みず,エスパー,60,75,85,100,85,115,520,1.1,80.0,182
122,バリヤード,Mr. Mime,エスパー,フェアリー,40,45,65,100,120,90,460,1.3,54.5,161
123,ストライク,Scyther,むし,ひこう,70,110,80,55,80,105,500,1.5,56.0,100
124,ルージュラ,Jynx,こおり,エスパー,65,50,35,115,95,95,455,1.4,40.6,159
125,エレブー,Electabuzz,でんき,,65,83,57,95,85,105,490,1.1,30.0,172
126,ブーバー,Magmar,ほのお,,65,95,57,100,85,93,495,1.3,44.5,173
127,カイロス,Pinsir,むし,,65,125,100,55,70,85,500,1.5,55.0,175
128,ケンタロス,Tauros,ノーマル,,75,100,95,40,70,110,490,1.4,88.4,172
129,コイキング,Magikarp,みず,,20,10,55,15,20,80,200,0.9,10.0,40
130,ギャラドス,Gyarados,みず,ひこう,95,125,79,60,100,81,540,6.5,235.0,189
131,ラプラス,Lapras,みず,こおり,130,85,80,85,95,60,535,2.5,220.0,187
132,メタモン,Ditto,ノーマル,,48,48,48,48,48,48,288,0.3,4.0,101
133,イーブイ,Eevee,ノーマル,,55,55,50,45,65,55,325,0.3,6.5,65
134,シャワーズ,Vaporeon,みず,,130,65,60,110,95,65,525,1.0,29.0,184
135,サンダース,Jolteon,でんき,,65,65,60,110,95,130,525,0.8,24.5,184
136,ブースター,Flareon,ほのお,,65,130,60,95,110,65,525,0.9,25.0,184
137,ポリゴン,Porygon,ノーマル,,65,60,70,85,75,40,395,0.8,36.5,79
138,オムナイト,Omanyte,いわ,みず,35,40,100,90,55,35,355,0.4,7.5,71
139,オムスター,Omastar,いわ,みず,70,60,125,115,70,55,495,1.0,35.0,173
140,カブト,Kabuto,いわ,みず,30,80,90,55,45,55,355,0.5,11.5,71
141,カブトプス,Kabutops,いわ,みず,60,115,105,65,70,80,495,1.3,40.5,173
142,プテラ,Aerodactyl,いわ,ひこう,80,105,65,60,75,130,515,1.8,59.0,180
143,カビゴン,Snorlax,ノーマル,,160,110,65,65,110,30,540,2.1,460.0,189
144,フリーザー,Articuno,こおり,ひこう,90,85,100,95,125,85,580,1.7,55.4,261
145,サンダー,Zapdos,でんき,ひこう,90,90,85,125,90,100,580,1.6,52.6,261
146,ファイヤー,Moltres,ほのお,ひこう,90,100,90,125,85,90,580,2.0,60.0,261
147,ミニリュウ,Dratini,ドラゴン,,41,64,45,50,50,50,300,1.8,3.3,60
148,ハクリュー,Dragonair,ドラゴン,,61,84,65,70,70,70,420,4.0,16.5,147
149,カイリュー,Dragonite,ドラゴン,ひこう,91,134,95,100,100,80,600,2.2,210.0,270
150,ミュウツー,Mewtwo,エスパー,,106,110,90,154,90,130,680,2.0,122.0,306
151,ミュウ,Mew,エスパー,,100,100,100,100,100,100,600,0.4,4.0,270
